이름,카테고리,도로명주소,지번주소,전화번호,장소ID,X(경도),Y(위도),메모,등록일
"일미락 목동본점돼지고기구이","","","서울특별시 양천구 목동 406-126","","","","","",""
"옛날한우곱창전문 본점곱창,막창,양","","","서울특별시 강서구 등촌동 647-24","","","","","",""
"서울맛집한식","","","서울특별시 성동구 성수동2가 335-136 1층","","","","","",""
"이종구낙지세상낙지요리","","","서울특별시 노원구 중계동 27 우암타운 1층","","","","","",""
"신도림참족발족발,보쌈","","","서울특별시 구로구 신도림동 337 신도림1차푸르지오","","","","","",""
"숙이네조개전골 신도림점조개요리","","","서울특별시 구로구 구로동 30-32","","","","","",""
"안녕식당일식당","","","서울특별시 강동구 천호동 409-34","","","","","",""
"군자대한곱창 군자직영본점곱창,막창,양","","","서울특별시 광진구 능동 221-2","","","","","",""
"왕십리불로원곱창곱창,막창,양","","","서울특별시 광진구 자양동 608-19","","","","","",""
"민정식당한식","","","서울특별시 광진구 자양동 232-4 1층","","","","","",""
"도원중식당","","","서울특별시 구로구 구로동 222-7 108호","","","","","",""
"갓포 쿠마카세일식당","","","서울특별시 양천구 목동 406-76 1층","","","","","",""
"일등추어탕 선릉 본점추어탕","","","서울특별시 강남구 역삼동 683-26 선릉빌딩 1층","","","","","",""
"3일한우국밥국밥","","","서울특별시 영등포구 영등포동4가 68-5","","","","","",""
"호수집닭요리","","","서울특별시 중구 중림동 61-4","","","","","",""
"코끼리만두만두","","","서울특별시 강서구 등촌동 654-78","","","","","",""
"호박집한식","","","서울특별시 영등포구 영등포동5가 2 성일빌딩1층","","","","","",""
"제주아방","","","서울특별시 용산구 한강로2가 306-3","","","","","",""
"짱수양꼬치","","","서울특별시 강남구 수서동 714-4","","","","","",""
"니와참치","","","서울특별시 구로구 구로동 1126-35 1층","","","","","",""
"동해세수대야동태탕 상봉점매운탕,해물탕","","","서울특별시 중랑구 망우동 508-1","","","","","",""
"화덕닭갈비 양재직영점닭갈비","","","서울특별시 서초구 양재동 327-7","","","","","",""
"우리소양평해장국본점해장국","","","서울특별시 금천구 독산동 1035-1 우리소양평해장국","","","","","",""
"수빈식당한식","","","서울특별시 광진구 자양동 679-34","","","","","",""
